Title,latitude,longtitude
Alexandreia (Pelagou Camp),40.635441,22.454191
Derveni/Alexil,40.724106,22.976893
Diavata (Anagnastopoulou Camp),40.7,22.86
Diavata Hotel,,
Drama,41.17212,24.06965
Elpida Home - Dion Avete (Derveni Dion???),,
Kavala (Asimakopoulos camp),40.94589,24.42877
Kordelio,40.6621,22.8956
Lagadikia (Vogiatzoglou Camp),40.627089,23.248159
Lavrio (camp site),37.713579,24.055054
Lavrio (accomodation facility),37.676828,24.045307
Nea Kavala,40.99,22.62
Pieria (Ktima Iraklis),40.27,22.36
Sinatrex (Kavalari),40.672925,23.083911
Sindos (Frakaport),40.667972,22.831081
Serres (KEGE),41.07245,23.54729
Vasilika-Redestos (Kordogiannis Farm),40.501503,23.098497
Veria (Amartolos Camp),40.487482,22.247629
